PAGE_TYPE,URL
checkout,https://www.chewy.com/app/checkout?utm_term%3Dhero_dog%26utm_medium%3Demail%26utm_source%3Dtriggered%26utm_campaign%3D1f5e32c1-1916-4733-be23-846e4e570097%26utm_audience%3DTrigger-ReOrder-T1-C%26mi_u%3D921467464%26mi_ecmp%3DTrigger-ReOrder-T1-C%26utm_content%3D9e075f6d-e617-4037-b4f2-1df287ea5c53%26lid%3Dknyy87pbb3od%26utm_medium%3Demail%26utm_source%3Dtriggered%26utm_campaign%3D1f5e32c1-1916-4733-be23-846e4e570097%26utm_audience%3DTrigger-ReOrder-T1-C%26mi_u%3D921467464%26mi_ecmp%3DTrigger-ReOrder-T1-C%26utm_content%3D9e075f6d-e617-4037-b4f2-1df287ea5c53
privacy,https://www.chewy.com/app/content/privacy?utm_term=footer_&utm_medium=email&utm_source=transactional&utm_campaign=fc42cdc0-8cc1-4cb1-90ab-8f2f19148580&utm_audience=TXN_PRACTICE_HUB_RX_DECLINE_EMAIL_V1&mi_u=Litmus-Test-Phoebe&mi_ecmp=TXN_PRACTICE_HUB_RX_DECLINE_EMAIL_V1&utm_content=45d6df04-b539-40f6-af87-db4352360674
accessibility-information,https://www.chewy.com/app/content/accessibility-information?ajs_aid=fb1f1869-1871-47b0-aac7-9d63480c5b12
orlena-yeung,https://www.chewy.com/app/content/orlena-yeung?utm_source=google&utm_medium=cpc&utm_campaign=18283612494&utm_content=140691789283&gad_source=1&gad_campaignid=18283612494&gbraid=0AAAAADmQ2V0E8YlQ0pyAC2tZP2GxSsW9T&gclid=Cj0KCQiAoZDJBhC0ARIsAERP-F-8HAfOhsaSSB6PakWlW_HRHO2DAr4ddHm8RzVEMLfaBmoAuUaR17UaAk6ZEALw_wcB
conditions,https://www.chewy.com/app/content/conditions
home,https://www.chewy.com/zymox-zylafen-reptile-topical-spray-2/dp/705550
our-team,https://www.chewy.com/app/content/our-team?msockid=311728517d5f62143e773af27c0d639f
zeus,https://zeus-price-ui.demm.stg.aws.chewy.cloud/signout
login-username,https://www.chewy.com/auth/realms/chewy-user/protocol/openid-connect/auth?state=oKh3n1M61JYfrAROyiklZAXnrB1fduHAdtrx9OTMVJ8&nma_version=25.43.0&response_type=code&nonce=jcyzUtUT6Pbc7mlduirl6eL3S1gkGYHdpbY97Jq05NQ&code_challenge_method=S256&scope=openid%20user%20b2b%20offline_access&nma_linker_id=7B506AF5-B893-4504-B98C-70BACD1B38AE&guest_user_id=966224163&code_challenge=y7MMTo05yPwzhwA4adINbnwOIuPZHA1LgBeztG5v51o&redirect_uri=chewy://app/auth_code&client_id=storefront-ios-app-u2s-client&pid=VTfol3nLRg2mWJ1-h8Q9Jw
pdp,https://www.chewy.com/zymox-zylafen-reptile-topical/dp/705534?utm_source=google-product&utm_medium=cpc&utm_campaign=22378224474&utm_content=&gad_source=4&gad_campaignid=22378227978&gbraid=0AAAAADmQ2V3l7sAegoYcd_SZwlkN-7cIs
satish-mehta,https://www.chewy.com/app/content/satish-mehta
education,https://www.chewy.com/zymox-topical-cream-inflammation/dp/110922
helpCenter,https://www.chewy.com/yeowww-catnip-yellow-banana-cat-toy-2/dp/130257
mp-login-otp-channel,https://www.chewy.com/auth/realms/chewy-user/login-actions/authenticate?execution=768b815e-5b2b-42c0-bcbc-afcccfb23f56&client_id=healthcare-pet-insurance-member-portal-u2s-client&tab_id=qy_zpkxuEwg
superlative_best,undefined/best/self-cleaning-litter-boxes_s112464
